X,Y,plate.w,,,
-4.797465071,-1.408662093,0,,,
-4.762791358,-1.52180717,0,,,
-4.679511742,-1.432062779,-1.04E-07,,,
-4.643388873,-1.545078285,-1.04E-07,,,
-4.725219334,-1.634693105,0,,,
-4.604367693,-1.657834649,-1.05E-07,,,
-4.684748998,-1.747319899,0,,,
-4.561558413,-1.455463465,-2.14E-07,,,
-4.523986388,-1.5683494,-2.14E-07,,,
-4.443605084,-1.478864151,-3.28E-07,,,
-4.710782977,-1.325253548,-1.04E-07,,,
-4.829824245,-1.293330671,0,,,
-4.741674129,-1.20994846,-1.04E-07,,,
-4.624100882,-1.241845002,-2.13E-07,,,
-4.653524013,-1.12656625,-2.13E-07,,,
-4.537418788,-1.158436456,-3.27E-07,,,
-4.859247376,-1.178051919,0,,,
-4.769629238,-1.094696044,-1.04E-07,,,
-4.885734462,-1.062825838,0,,,
-4.79322848,-0.985819359,-1.04E-07,,,
-4.90980302,-0.945371714,0,,,
-4.815824893,-0.868550292,-1.04E-07,,,
-4.700722498,-0.90881288,-2.13E-07,,,
-4.721846766,-0.79172887,-2.13E-07,,,
-4.608216517,-0.831806402,-3.26E-07,,,
-4.930927287,-0.828287703,0,,,
-4.835477015,-0.751651338,-1.04E-07,,,
-4.949107265,-0.711573806,0,,,
-4.851249054,-0.641286309,-1.04E-07,,,
-4.96474741,-0.592590187,0,,,
-4.865428014,-0.52264815,-1.04E-07,,,
-4.753390843,-0.570998811,-2.12E-07,,,
-4.766108617,-0.452706114,-2.12E-07,,,
-4.655532632,-0.500711314,-3.26E-07,,,
-4.977465184,-0.474297489,0,,,
-4.876684602,-0.404700914,-1.04E-07,,,
-4.987260588,-0.356695713,0,,,
-4.642051383,-1.857801108,0,,,
-4.565610563,-1.762079119,-1.05E-07,,,
-4.521496986,-1.87227877,-1.05E-07,,,
-4.596521844,-1.967719201,0,,,
-4.474551486,-1.981915305,-1.05E-07,,,
-4.548160382,-2.077074177,0,,,
-4.446472128,-1.77683834,-2.14E-07,,,
-4.400942589,-1.886756433,-2.15E-07,,,
-4.327333693,-1.791597561,-3.29E-07,,,
-4.497643263,-2.184321099,0,,,
-4.428480644,-2.083160912,-1.05E-07,,,
-4.376594629,-2.189979285,-1.05E-07,,,
-4.444388352,-2.290710922,0,,,
-4.321970823,-2.295940558,-1.06E-07,,,
-4.388395651,-2.396243645,0,,,
-4.308800905,-2.089247647,-2.15E-07,,,
-4.255545994,-2.19563747,-2.16E-07,,,
-4.189121166,-2.095334383,-3.30E-07,,,
-4.206268343,-2.703203031,0,,,
-4.140885377,-2.802337854,0,,,
