x,y,w
-1.532088351,-1.285575857,0
-1.594071407,-1.397848445,-1.10E-07
-1.454700685,-1.372530581,0
-1.514291961,-1.482411388,-1.08E-07
-1.656054462,-1.510121033,-2.12E-07
-1.573883237,-1.592292195,-2.10E-07
-1.718037517,-1.622393622,-3.07E-07
-1.37252946,-1.454701743,0
-1.429728957,-1.562190768,-1.07E-07
-1.285574678,-1.532089341,0
-1.732050327,-1.000000832,0
-1.81177308,-1.099990284,-1.08E-07
-1.671277919,-1.098586939,0
-1.74805988,-1.196879175,-1.07E-07
-1.891495832,-1.199979736,-2.08E-07
-1.824841841,-1.295171411,-2.07E-07
-1.971218585,-1.299969188,-3.02E-07
-1.604623927,-1.193778614,0
-1.678465096,-1.290373634,-1.07E-07
-1.327398619,-1.654567178,-1.10E-07
-1.193777377,-1.604624847,0
-1.233904105,-1.72416189,-1.08E-07
-1.36922256,-1.777045015,-2.11E-07
-1.274030834,-1.843698933,-2.08E-07
-1.411046501,-1.899522851,-3.05E-07
-1.098585651,-1.671278766,0
-1.137015167,-1.787875015,-1.06E-07
-0.9999995,-1.732051097,0
-1.879384862,-0.684041329,0
-1.974367217,-0.768899759,-1.04E-07
-1.836909215,-0.791136853,0
-1.928573637,-0.875107438,-1.04E-07
-2.069349571,-0.853758189,-2.01E-07
-2.020238059,-0.959078023,-2.01E-07
-2.164331926,-0.938616619,-2.92E-07
-1.787797703,-0.896456687,0
-1.876144193,-0.979539428,-1.04E-07
-1.018256947,-1.862662057,-1.08E-07
-0.896455309,-1.787798394,0
-0.913824916,-1.915091421,-1.06E-07
-1.036514394,-1.993273018,-2.07E-07
-0.931194522,-2.042384449,-2.03E-07
-1.054771842,-2.123883979,-2.97E-07
-0.791135437,-1.836909825,0
-0.807617202,-1.960884919,-1.04E-07
-0.684039883,-1.879385389,0
-1.969615233,-0.347297904,0
-2.076805625,-0.417225083,-1.01E-07
-1.946542046,-0.459542142,0
-2.050230637,-0.529471107,-1.01E-07
-2.183996018,-0.487152263,-1.94E-07
-2.153919228,-0.599400072,-1.94E-07
-2.29118641,-0.557079443,-2.81E-07
-1.916465255,-0.57178995,0
-2.016652045,-0.6417207,-1.01E-07
-0.673303346,-2.010670906,-1.02E-07
-0.571788383,-1.916465723,0
-0.561053636,-2.044249432,-1.00E-07
-0.662566809,-2.141956423,-1.95E-07
-0.550318889,-2.172033142,-1.92E-07
-0.651830272,-2.273241939,-2.80E-07
-0.459540463,-1.946542442,0
-0.448807505,-2.070824345,-9.88E-08
-0.347296122,-1.969615547,0
-2,0,0
-2.120244515,-0.043702833,-1.01E-07
-1.996824349,-0.113897856,0
-2.113592562,-0.158534745,-1.00E-07
