X,Y,phi
14.60961983,0.350561628,1.28E-04
14.73974655,0.233707752,6.90E-05
14.86987328,0.116853876,2.62E-05
15,0,0
14.7364108,0.416317661,1.07E-04
14.86765753,0.299035376,4.51E-05
14.99890426,0.181753091,-9.93E-22
14.86320177,0.482073694,6.40E-05
14.99556851,0.364362999,1.85E-20
14.98999275,0.547829727,0
14.9599843,1.094929124,0
14.79782777,1.005143791,1.17E-04
14.63567125,0.915358458,2.07E-04
14.47351472,0.825573125,2.68E-04
14.97225436,0.91183505,0
14.80896421,0.822413521,1.07E-04
14.64567406,0.732991992,1.85E-04
14.98225718,0.729468584,0
14.81783341,0.64041086,9.62E-05
14.48994541,1.368279464,3.05E-04
14.64662504,1.277162684,2.14E-04
14.80330467,1.186045904,1.12E-04
14.6299685,1.459042156,2.24E-04
14.78779218,1.367626246,1.17E-04
14.94561586,1.276210335,3.44E-21
14.7699916,1.549804848,1.22E-04
14.92895932,1.458089808,4.24E-20
14.91001469,1.640567541,0
14.43631579,1.868503587,3.34E-04
14.59421542,1.792524905,2.37E-04
14.75211506,1.716546223,1.25E-04
14.57092742,1.973674498,2.42E-04
14.72997836,1.897461304,1.28E-04
14.88902929,1.82124811,3.86E-21
14.70553906,2.078845409,1.30E-04
14.86574129,2.002397704,4.57E-20
14.8401507,2.18401632,0
14.35741515,2.376692465,3.55E-04
14.518327,2.312467084,2.52E-04
14.67923885,2.248241702,1.34E-04
14.4884386,2.492645278,2.55E-04
14.65050586,2.428249824,1.35E-04
14.81257311,2.36385437,4.09E-21
14.61946205,2.608598091,1.37E-04
14.78268471,2.544032564,4.81E-20
14.7504855,2.724550904,0
14.25378227,2.893247029,3.72E-04
14.41935001,2.837014988,2.64E-04
14.58491775,2.780782946,1.40E-04
14.38290103,3.015981638,2.66E-04
14.54962518,2.959643663,1.41E-04
14.71634933,2.903305688,4.30E-21
14.5120198,3.138716247,1.42E-04
14.67990035,3.082272339,5.01E-20
14.64113856,3.261450857,0
14.13363156,3.412646166,3.82E-04
14.30280056,3.36224773,2.72E-04
14.47196956,3.311849293,1.45E-04
14.25983966,3.539763826,2.73E-04
14.43016299,3.489323176,1.45E-04
14.60048631,3.438882525,4.41E-21
14.38604777,3.666881485,1.46E-04
14.55752541,3.616398622,5.14E-20
14.51225587,3.793999145,0
13.99632195,3.928641352,3.88E-04
14.16829993,3.883760616,2.76E-04
14.3402779,3.838879881,1.47E-04
14.11888452,4.059588998,2.77E-04
14.29201169,4.01472923,1.47E-04
14.46513885,3.969869461,4.47E-21
14.24144709,4.190536645,1.48E-04
14.41572345,4.145697844,5.21E-20
14.36400966,4.321484292,0
13.83968856,4.438319514,3.93E-04
14.01446226,4.39937444,2.80E-04
14.18923596,4.360429366,1.49E-04
13.95865824,4.573280744,2.80E-04
14.13457299,4.534419161,1.49E-04
14.31048775,4.495557578,4.55E-21
14.07762791,4.708241973,1.49E-04
14.25468372,4.669463881,5.28E-20
14.19659758,4.843203202,0
13.66670656,4.941339495,3.96E-04
13.8433369,4.908627397,2.82E-04
14.01996724,4.8759153,1.50E-04
13.78121862,5.080379806,2.82E-04
13.95897893,5.047812952,1.50E-04
14.13673924,5.015246098,4.58E-21
13.89573069,5.219420117,1.50E-04
14.07462097,5.186998507,5.31E-20
14.01024275,5.358460428,0
13.47652065,5.437287984,3.97E-04
13.65442802,5.411012132,2.83E-04
13.83233538,5.38473628,1.51E-04
13.58607837,5.580381428,2.83E-04
13.7651017,5.554311686,1.51E-04
13.94412504,5.528241944,4.60E-21
13.69563609,5.723474873,1.51E-04
13.87577539,5.69761124,5.33E-20
13.80519381,5.866568317,0
13.2689085,5.925911697,3.98E-04
13.44767027,5.90613057,2.84E-04
13.62643204,5.886349444,1.51E-04
13.37318064,6.07289034,2.84E-04
13.5530415,6.053375189,1.51E-04
13.73290237,6.033860038,4.61E-21
13.47745277,6.219868984,1.51E-04
13.65841273,6.200619808,5.34E-20
13.5817249,6.366847627,0
13.04382865,6.406727346,3.98E-04
13.2231274,6.393434106,2.84E-04
13.40242615,6.380140866,1.51E-04
13.14259711,6.557362017,2.84E-04
13.32297528,6.544393509,1.51E-04
13.50335344,6.531425001,4.61E-21
13.24136557,6.707996689,1.51E-04
13.42282315,6.695352912,5.34E-20
13.34013403,6.858631361,0
12.80134545,6.87907488,3.98E-04
12.98094164,6.872260374,2.84E-04
13.16053784,6.865445867,1.51E-04
12.89447807,7.03313787,2.84E-04
13.07513124,7.026705633,1.51E-04
13.25578442,7.020273395,4.60E-21
12.98761068,7.187200861,1.51E-04
13.16932084,7.181150892,5.34E-20
13.08074329,7.341263851,0
12.54164786,7.342315175,3.98E-04
12.72134634,7.341964733,2.84E-04
12.90104481,7.341614292,1.51E-04
12.6290647,7.499577362,2.84E-04
12.80979505,7.499665403,1.51E-04
12.99052539,7.499753443,4.60E-21
12.71648155,7.65683955,1.51E-04
12.89824376,7.657366072,5.34E-20
12.80389839,7.814101738,0
12.26503474,7.795838448,3.98E-04
12.44465596,7.801926211,2.84E-04
12.62427717,7.808013975,1.51E-04
12.34667963,7.956063255,2.84E-04
12.52730496,7.96264428,1.51E-04
12.70793028,7.969225304,4.60E-21
12.42832452,8.116288062,1.51E-04
12.60995396,8.123362348,5.34E-20
12.50996941,8.276512869,0
4.968561247,0.559820625,0
4.986170686,0.370938899,0
4.99665027,0.184332024,0
5,0,0
5.11767907,0.52628985,8.87E-05
5.131723582,0.338545549,6.46E-05
5.138638239,0.153076099,4.05E-05
5.266796893,0.492759074,1.54E-04
5.277276477,0.306152199,1.06E-04
5.415914716,0.459228298,1.97E-04
11.97193143,8.238969577,3.99E-04
12.15127743,8.251484008,2.84E-04
12.33062342,8.263998438,1.51E-04
12.04773723,8.401939695,2.84E-04
12.22805702,8.415000632,1.51E-04
12.4083768,8.428061569,4.60E-21
12.12354303,8.564909813,1.51E-04
12.3048366,8.578517257,5.34E-20
12.19934883,8.727879931,0
4.874638199,1.112610638,0
4.913212265,0.927319603,0
4.944519948,0.743056265,0
5.032352766,1.06747876,1.27E-04
5.06729364,0.882701573,1.16E-04
5.094968131,0.698952085,1.05E-04
5.190067333,1.022346882,2.30E-04
5.221375016,0.838083544,2.09E-04
5.3477819,0.977215003,3.10E-04
11.66283824,8.670979583,3.99E-04
11.8416751,8.689946366,2.84E-04
12.02051197,8.708913148,1.51E-04
11.73270905,8.836520176,2.84E-04
11.9124869,8.856085078,1.51E-04
12.09226474,8.87564998,4.60E-21
11.80257987,9.002060769,1.51E-04
11.98329869,9.02222379,5.34E-20
11.87245069,9.167601362,0
5.015230172,1.249671852,1.56E-04
5.155822145,1.386733067,2.95E-04
5.296414118,1.523794281,4.15E-04
4.830115296,1.292407467,0
4.967098309,1.429368152,1.62E-04
5.104081321,1.566328837,3.05E-04
4.778374472,1.472003238,0
4.911748525,1.608863394,1.67E-04
4.719415728,1.65139795,0
11.33824737,9.091226034,3.99E-04
11.51631514,9.116684477,2.84E-04
11.69438291,9.142142919,1.51E-04
11.40206843,9.259181087,2.84E-04
11.58104195,9.285287532,1.51E-04
11.76001547,9.311393977,4.60E-21
11.46588948,9.427136139,1.51E-04
11.64576875,9.453890587,5.35E-20
11.52971053,9.595091192,0
4.850667502,1.788676924,1.73E-04
