X,Y,W,,,
14.60961983,0.350561628,-7.74E-08,,,
14.73974655,0.233707752,-3.80E-08,,,
14.7364108,0.416317661,-6.17E-08,,,
14.86765753,0.299035376,-2.41E-08,,,
14.86987328,0.116853876,-1.22E-08,,,
14.99890426,0.181753091,1.42E-24,,,
15,0,0,,,
14.86320177,0.482073694,-3.59E-08,,,
14.99556851,0.364362999,-9.70E-24,,,
14.98999275,0.547829727,0,,,
14.9599843,1.094929124,0,,,
14.79782777,1.005143791,-7.98E-08,,,
14.97225436,0.91183505,0,,,
14.80896421,0.822413521,-6.86E-08,,,
14.63567125,0.915358458,-1.48E-07,,,
14.64567406,0.732991992,-1.25E-07,,,
14.47351472,0.825573125,-2.03E-07,,,
14.98225718,0.729468584,0,,,
14.81783341,0.64041086,-5.74E-08,,,
14.48994541,1.368279464,-2.67E-07,,,
14.64662504,1.277162684,-1.68E-07,,,
14.6299685,1.459042156,-1.85E-07,,,
14.78779218,1.367626246,-8.73E-08,,,
14.80330467,1.186045904,-7.92E-08,,,
14.94561586,1.276210335,1.12E-24,,,
14.7699916,1.549804848,-9.55E-08,,,
14.92895932,1.458089808,-3.01E-23,,,
14.91001469,1.640567541,0,,,
14.43631579,1.868503587,-3.35E-07,,,
14.59421542,1.792524905,-2.13E-07,,,
14.57092742,1.973674498,-2.27E-07,,,
14.72997836,1.897461304,-1.09E-07,,,
14.75211506,1.716546223,-1.02E-07,,,
14.88902929,1.82124811,1.36E-24,,,
14.70553906,2.078845409,-1.16E-07,,,
14.86574129,2.002397704,-3.68E-23,,,
14.8401507,2.18401632,0,,,
14.35741515,2.376692465,-4.02E-07,,,
14.518327,2.312467084,-2.56E-07,,,
14.4884386,2.492645278,-2.69E-07,,,
14.65050586,2.428249824,-1.29E-07,,,
14.67923885,2.248241702,-1.23E-07,,,
14.81257311,2.36385437,1.78E-24,,,
14.61946205,2.608598091,-1.35E-07,,,
14.78268471,2.544032564,-4.31E-23,,,
14.7504855,2.724550904,0,,,
14.25378227,2.893247029,-4.69E-07,,,
14.41935001,2.837014988,-2.99E-07,,,
14.38290103,3.015981638,-3.11E-07,,,
14.54962518,2.959643663,-1.49E-07,,,
14.58491775,2.780782946,-1.43E-07,,,
14.71634933,2.903305688,2.35E-24,,,
14.5120198,3.138716247,-1.55E-07,,,
14.67990035,3.082272339,-4.93E-23,,,
14.64113856,3.261450857,0,,,
14.13363156,3.412646166,-5.29E-07,,,
14.30280056,3.36224773,-3.37E-07,,,
14.25983966,3.539763826,-3.48E-07,,,
14.43016299,3.489323176,-1.66E-07,,,
14.47196956,3.311849293,-1.61E-07,,,
14.60048631,3.438882525,2.94E-24,,,
14.38604777,3.666881485,-1.71E-07,,,
14.55752541,3.616398622,-5.46E-23,,,
14.51225587,3.793999145,0,,,
13.99632195,3.928641352,-5.82E-07,,,
14.16829993,3.883760616,-3.71E-07,,,
14.11888452,4.059588998,-3.80E-07,,,
14.29201169,4.01472923,-1.81E-07,,,
14.3402779,3.838879881,-1.77E-07,,,
14.46513885,3.969869461,3.50E-24,,,
14.24144709,4.190536645,-1.86E-07,,,
14.41572345,4.145697844,-5.91E-23,,,
14.36400966,4.321484292,0,,,
13.83968856,4.438319514,-6.31E-07,,,
14.01446226,4.39937444,-4.02E-07,,,
13.95865824,4.573280744,-4.10E-07,,,
14.13457299,4.534419161,-1.96E-07,,,
14.18923596,4.360429366,-1.91E-07,,,
14.31048775,4.495557578,4.03E-24,,,
14.07762791,4.708241973,-2.00E-07,,,
14.25468372,4.669463881,-6.34E-23,,,
14.19659758,4.843203202,0,,,
13.66670656,4.941339495,-6.73E-07,,,
13.8433369,4.908627397,-4.28E-07,,,
13.78121862,5.080379806,-4.36E-07,,,
13.95897893,5.047812952,-2.08E-07,,,
14.01996724,4.8759153,-2.04E-07,,,
14.13673924,5.015246098,4.49E-24,,,
13.89573069,5.219420117,-2.11E-07,,,
14.07462097,5.186998507,-6.70E-23,,,
14.01024275,5.358460428,0,,,
13.47652065,5.437287984,-7.10E-07,,,
13.65442802,5.411012132,-4.51E-07,,,
13.58607837,5.580381428,-4.58E-07,,,
13.7651017,5.554311686,-2.18E-07,,,
13.83233538,5.38473628,-2.15E-07,,,
13.94412504,5.528241944,4.90E-24,,,
13.69563609,5.723474873,-2.21E-07,,,
13.87577539,5.69761124,-7.01E-23,,,
13.80519381,5.866568317,0,,,
13.2689085,5.925911697,-7.41E-07,,,
13.44767027,5.90613057,-4.71E-07,,,
13.37318064,6.07289034,-4.77E-07,,,
13.5530415,6.053375189,-2.27E-07,,,
13.62643204,5.886349444,-2.24E-07,,,
13.73290237,6.033860038,5.25E-24,,,
13.47745277,6.219868984,-2.30E-07,,,
13.65841273,6.200619808,-7.28E-23,,,
13.5817249,6.366847627,0,,,
13.04382865,6.406727346,-7.69E-07,,,
13.2231274,6.393434106,-4.89E-07,,,
13.14259711,6.557362017,-4.94E-07,,,
13.32297528,6.544393509,-2.35E-07,,,
13.40242615,6.380140866,-2.32E-07,,,
13.50335344,6.531425001,5.56E-24,,,
13.24136557,6.707996689,-2.37E-07,,,
13.42282315,6.695352912,-7.51E-23,,,
13.34013403,6.858631361,0,,,
12.80134545,6.87907488,-7.93E-07,,,
